LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
PREMIER HIGH SCHOOLS,"PREMIER H S OF NEW BRAUNFELS 1928 SOUTH SEGUIN AVE, NEW BRAUNFELS, TX",http://responsiveed.com/premiernewbraunfels/,247,"1928 SOUTH SEGUIN AVE, NEW BRAUNFELS, TX",TX72801136,0.649850707,https://web.archive.org/web/*/http://www.greatschools.org/texas/lewisville/24719-Premier-High-School-Of-New-Braunfels/,3,2013,4.80E+11,48,4800207,12268,72801,72801136,PREMIER HIGH SCHOOLS,PREMIER H S OF NEW BRAUNFELS,8306096606,P O BOX 292730,LEWISVILLE,TX,75029,0,1928 SOUTH SEGUIN AVE,NEW BRAUNFELS,TX,78130,0,4,1,0,13,29.6787,-98.1068,48091,COMAL COUNTY,4835,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,6,9,12,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,5,1,1,2,1,M,48,11,59,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,25,0,0,0,0,6,8,0,0,4,7,0,0,0,0,20,1,0,0,0,3,5,0,0,3,8,0,0,0,0,35,0,1,0,0,8,8,0,0,3,14,0,0,1,0,29,0,0,0,0,3,4,1,1,6,13,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,109,2,1,1,0,0,0,45,20,25,2,1,1,58,16,42,0,0,0,2,1,1,109,N,M,1,M
TEXAS COLLEGE PREPARATORY ACADEMIES,"VISTA ACADEMY OF HUNTSVILLE 2407 A SAM HOUSTON AVE, HUNTSVILLE, TX",http://responsiveed.com/huntsvilleclassical/,248,"2407 A SAM HOUSTON AVE, HUNTSVILLE, TX",TX221801005,0.136368136,https://web.archive.org/web/*/http://www.homefacts.com/schools/Texas/Dallas-County/Lewisville/Vista-Academy-Of-Huntsville.html,1,2013,4.80E+11,48,4800163,8127,221801,221801005,TEXAS COLLEGE PREPARATORY ACADEMIES,VISTA ACADEMY OF HUNTSVILLE,9362910203,P O BOX 292730,LEWISVILLE,TX,75029,0,2407 A SAM HOUSTON AVE,HUNTSVILLE,TX,77340,0,1,1,0,32,30.708,-95.5486,48471,WALKER COUNTY,4808,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,1,M,103,44,147,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,30,0,0,0,1,4,4,3,3,5,10,0,0,0,0,36,1,0,1,0,1,1,6,6,7,11,0,0,1,1,22,0,0,0,0,1,1,3,3,8,5,0,0,1,0,19,1,0,1,0,1,1,4,2,4,4,0,0,0,1,20,0,0,0,0,2,2,2,2,8,2,0,0,1,1,20,0,0,1,0,1,4,1,2,7,4,0,0,0,0,14,0,0,0,1,1,0,4,1,4,3,0,0,0,0,31,0,0,0,0,3,1,4,4,10,8,0,0,0,1,21,0,0,1,0,1,2,1,1,4,10,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,213,2,2,0,6,4,2,31,15,16,52,28,24,114,57,57,0,0,0,8,3,5,213,N,M,1,M
TEXAS COLLEGE PREPARATORY ACADEMIES,"VISTA ACADEMY OF DALLAS 7300 BRUTON RD, DALLAS, TX",http://responsiveed.com/dallasclassical/,249,"7300 BRUTON RD, DALLAS, TX",TX221801006,0.3088817,https://web.archive.org/web/*/http://www.homefacts.com/schools/Texas/Dallas-County/Lewisville/Vista-Academy-Of-Dallas.html,1,2013,4.80E+11,48,4800163,11421,221801,221801006,TEXAS COLLEGE PREPARATORY ACADEMIES,VISTA ACADEMY OF DALLAS,2147929331,P O BOX 292730,LEWISVILLE,TX,75029,0,7300 BRUTON RD,DALLAS,TX,75217,0,4,1,0,11,32.7476,-96.6941,48113,DALLAS COUNTY,4830,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,18.76,KG,6,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,5,1,1,2,1,M,207,16,223,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,24,0,0,0,0,5,11,5,3,0,0,0,0,0,0,33,0,0,0,0,16,13,1,2,0,0,0,0,1,0,38,0,0,0,0,14,12,3,7,0,1,0,0,1,0,37,0,0,0,0,14,13,2,6,1,0,0,1,0,0,36,0,0,0,0,13,18,1,3,1,0,0,0,0,0,29,0,0,0,0,16,9,0,3,1,0,0,0,0,0,33,0,0,0,0,14,13,3,3,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,230,0,0,0,0,0,0,181,92,89,42,15,27,4,3,1,1,0,1,2,2,0,230,N,M,1,M
ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,"ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL 105 PLEASANT AVE, ROOSEVELT, NY",http://rcacs.org/,250,"105 PLEASANT AVE, ROOSEVELT, NY",NY280208860024,0.48761511,https://web.archive.org/web/*/http://rcacs.org/,1,2013,3.60E+11,36,3600030,4379,2.80E+11,2.80E+11,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,5168676202,105 PLEASANT AVE,ROOSEVELT,NY,11575,2126,105 PLEASANT AVE,ROOSEVELT,NY,11575,2126,1,1,0,21,40.6744,-73.5848,36059,NASSAU COUNTY,3604,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,47.01,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,2,1,2,258,54,312,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,72,0,0,0,0,2,0,28,31,6,5,0,0,0,0,86,0,0,0,0,0,1,40,38,4,3,0,0,0,0,114,0,1,0,0,2,6,50,47,4,4,0,0,0,0,94,0,0,0,0,4,4,46,34,1,5,0,0,0,0,68,0,0,0,0,3,1,32,24,5,3,0,0,0,0,74,0,0,0,0,1,5,33,32,2,1,0,0,0,0,65,0,0,1,0,2,4,26,28,0,4,0,0,0,0,31,0,0,0,0,0,0,14,16,0,1,0,0,0,0,20,0,0,0,0,1,1,7,9,2,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,624,1,0,1,1,1,0,37,15,22,535,276,259,50,24,26,0,0,0,0,0,0,624,VIRTUALNO,NSLPWOPRO,2,M
LEBANON COMMUNITY SD 9,"SAND RIDGE CHARTER SCHOOL 30581 SODAVILLEMT HOME RD, LEBANON, OR",http://pieschools.info/SandRidgeCharterSchools.htm/,251,"30581 SODAVILLEMT HOME RD, LEBANON, OR",OR3505,0.6846789,https://web.archive.org/web/*/http://pieschools.info/SandRidgeCharterSchools.htm,4,2013,4.11E+11,41,4107380,4186,2101,3505,LEBANON COMMUNITY SD 9,SAND RIDGE CHARTER SCHOOL,5412582416,30581 SODAVILLE-MT HOME RD,LEBANON,OR,97355,9008,30581 SODAVILLEMT HOME RD,LEBANON,OR,97355,9008,1,1,0,31,44.4802,-122.8699,41043,LINN COUNTY,4104,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14.5,KG,11,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,2,N,N,1,2,147,30,177,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,40,1,0,0,0,3,3,1,1,17,13,0,0,1,0,41,0,0,0,0,4,3,0,0,15,19,0,0,0,0,38,1,0,0,0,1,1,0,0,13,17,1,1,2,1,38,0,0,0,0,1,2,1,0,18,16,0,0,0,0,41,1,0,0,0,1,2,1,0,17,17,0,0,1,1,40,0,0,0,0,0,0,0,0,20,19,1,0,0,0,34,1,1,2,0,1,0,1,2,9,17,0,0,0,0,48,0,0,0,0,0,0,1,1,21,22,0,0,3,0,34,0,0,1,1,2,0,2,0,17,10,0,0,0,1,13,0,0,0,0,0,0,0,0,7,4,0,0,0,2,9,0,0,0,0,0,0,0,0,3,5,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,378,5,4,1,4,3,1,24,13,11,11,7,4,318,159,159,3,2,1,13,8,5,378,VIRTUALNO,NSLPNO,2101,M
PACIFIC HERITAGE ACADEMY,"PACIFIC HERITAGE ACADEMY 1755 WEST 1100 NORTH, SALT LAKE CITY, UT",http://phlearning.org/,252,"1755 WEST 1100 NORTH, SALT LAKE CITY, UT",UT7H100,0.927914011,https://web.archive.org/web/*/http://phlearning.org/,1,2013,4.90E+11,49,4900159,1406,7H,7H100,PACIFIC HERITAGE ACADEMY,PACIFIC HERITAGE ACADEMY,8013631892,1755 W 1100 N,SALT LAKE CITY,UT,84116,0,1755 WEST 1100 NORTH,SALT LAKE CITY,UT,84116,0,1,1,0,12,40.7934,-111.9411,49035,SALT LAKE COUNTY,4902,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14.93,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,185,36,221,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,40,0,0,0,1,10,7,0,0,10,10,2,0,0,0,37,0,1,0,0,11,4,0,0,7,4,6,3,0,1,41,0,0,1,1,5,11,1,0,7,3,10,2,0,0,32,0,0,0,0,4,10,0,0,3,5,6,4,0,0,26,0,0,1,0,1,6,0,1,4,5,3,3,0,2,39,0,0,0,1,7,5,0,0,2,8,8,7,1,0,21,0,0,0,0,3,6,1,0,1,1,3,5,0,1,90,0,0,2,2,5,7,0,0,31,29,5,6,2,1,65,0,0,1,2,2,10,0,0,24,19,1,4,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,391,1,0,1,12,5,7,114,48,66,3,2,1,173,89,84,78,44,34,10,5,5,391,VIRTUALNO,NSLPNO,99,M
REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY INC.,"REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY 14841 NORTH BLACK CANYON HWY, PHOENIX, AZ",http://paintedrockacademy.com/,253,"14841 NORTH BLACK CANYON HWY, PHOENIX, AZ",AZ91318,0.465942163,https://web.archive.org/web/*/http://paintedrockacademy.com/,1,2013,40085003341,4,400850,3341,91317,91318,REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY INC.,REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY,6234782344,14800 N. 25TH DRIVE,PHOENIX,AZ,85023,0,14841 NORTH BLACK CANYON HWY,PHOENIX,AZ,85023,0,1,1,0,11,33.6207,-112.1151,4013,MARICOPA COUNTY,406,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,-1,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,6,2,N,M,1,2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,69,0,0,6,14,4,3,2,1,13,18,0,1,4,3,98,0,0,12,18,8,13,3,2,24,14,0,0,3,1,70,0,0,7,13,9,5,4,2,11,13,1,0,2,3,60,1,0,6,10,6,8,4,1,10,10,0,0,2,2,52,0,1,8,4,9,5,2,4,9,10,0,0,0,0,34,0,0,3,2,2,3,2,4,8,5,0,0,2,3,45,0,1,5,1,10,4,4,3,9,7,0,0,1,0,32,0,0,2,2,3,2,2,3,8,10,0,0,0,0,26,1,0,0,0,4,2,4,2,5,6,0,0,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,486,4,2,2,113,49,64,100,55,45,49,27,22,190,97,93,2,1,1,28,14,14,486,VIRTUALNO,NSLPNO,10500,M
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,"LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON 3500 WEST CORTARO FARMS RD, TUCSON, AZ",http://nwtucson.legacytraditional.org/,254,"3500 WEST CORTARO FARMS RD, TUCSON, AZ",AZ91138,0.297588622,https://web.archive.org/web/*/http://nwtucson.legacytraditional.org/,1,2013,40084203300,4,400842,3300,91137,91138,LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,5205053640,3201 S GILBERT RD,CHANDLER,AZ,85286,0,3500 WEST CORTARO FARMS RD,TUCSON,AZ,85742,0,1,1,0,21,32.3597,-111.0414,4019,PIMA COUNTY,402,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,-1,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,85,78,163,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,140,0,0,10,4,16,23,0,0,38,44,0,0,1,4,148,2,1,5,2,16,19,1,2,41,52,0,0,4,3,145,0,1,7,7,18,22,0,2,50,37,0,0,1,0,145,2,0,4,5,21,33,3,3,42,31,0,0,0,1,149,0,2,9,4,26,27,1,1,37,42,0,0,0,0,124,1,1,7,2,20,18,2,3,36,32,0,0,2,0,97,1,1,0,4,17,12,1,0,36,25,0,0,0,0,115,0,1,3,7,11,22,1,1,29,40,0,0,0,0,89,1,0,0,2,9,15,1,1,26,29,0,0,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1152,14,7,7,82,45,37,345,154,191,23,10,13,667,335,332,0,0,0,21,12,9,1152,VIRTUALNO,NSLPNO,10500,M
MOTT HALL CHARTER SCHOOL,"MOTT HALL CHARTER SCHOOL 1260 FRANKLIN AVE, BRONX, NY",http://motthallcharterschool.org/,255,"1260 FRANKLIN AVE, BRONX, NY",NY320900861004,0.395273768,https://web.archive.org/web/*/http://motthallcharterschool.org/,2,2013,3.60E+11,36,3601071,6328,3.21E+11,3.21E+11,MOTT HALL CHARTER SCHOOL,MOTT HALL CHARTER SCHOOL,9175262746,1260 FRANKLIN AVE,BRONX,NY,10456,0,1260 FRANKLIN AVE,BRONX,NY,10456,0,1,1,0,11,40.8308,-73.9019,36005,BRONX COUNTY,3615,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,10,6,7,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,5,1,1,2,1,2,126,9,135,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,53,1,0,0,0,20,10,9,13,0,0,0,0,0,0,97,0,0,1,0,20,27,22,26,1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,150,1,1,0,1,1,0,77,40,37,70,31,39,1,1,0,0,0,0,0,0,0,150,VIRTUALNO,NSLPWOPRO,1,M
MID-MICHIGAN LEADERSHIP ACADEMY,"MID-MICHIGAN LEADERSHIP ACADEMY 730 WEST MAPLE ST, LANSING, MI",http://mmla.sabis.net/,256,"730 WEST MAPLE ST, LANSING, MI",MI8323,0.930979432,https://web.archive.org/web/*/http://mmla.sabis.net/,1,2013,2.60E+11,26,2600082,546,33904,8323,MID-MICHIGAN LEADERSHIP ACADEMY,MID-MICHIGAN LEADERSHIP ACADEMY,5174855379,730 WEST MAPLE ST,LANSING,MI,48906,5086,730 WEST MAPLE ST,LANSING,MI,48906,5086,1,1,0,12,42.746,-84.5614,26065,INGHAM COUNTY,2608,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,19.8,PK,8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,2,1,2,271,4,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,0,0,0,0,1,3,13,9,6,4,0,0,1,2,45,0,0,0,0,5,8,9,6,6,4,0,0,4,3,27,0,0,0,0,1,6,7,5,1,2,0,0,3,2,40,0,0,0,1,2,6,9,7,3,1,0,0,6,5,31,0,0,0,0,3,6,10,4,2,4,0,0,2,0,22,0,0,0,0,4,3,4,4,1,1,0,0,3,2,27,0,0,0,0,4,3,5,4,3,3,0,0,3,2,30,0,0,1,0,2,10,6,4,1,2,0,0,1,3,19,0,0,0,0,3,4,3,5,2,1,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,2,1,1,74,25,49,114,66,48,47,25,22,0,0,0,43,24,19,280,VIRTUALNO,NSLPCEO,2243,M
CAMPBELL UNION,"MARSHALL LANE ELEMENTARY 14114 MARILYN LN, SARATOGA, CA",http://mlane.campbellusd.org/,257,"14114 MARILYN LN, SARATOGA, CA",CA6046619,0.03238506,https://web.archive.org/web/*/http://mlane.campbellusd.org/,1,2013,60720000671,6,607200,671,4369393,6046619,CAMPBELL UNION,MARSHALL LANE ELEMENTARY,4083644259,14114 MARILYN LN.,SARATOGA,CA,95070,5646,14114 MARILYN LN,SARATOGA,CA,95070,5646,1,1,0,21,37.2626,-121.9964,6085,SANTA CLARA COUNTY,618,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,24,KG,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,6,2,N,2,1,M,40,7,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,0,11,7,4,4,2,1,22,21,0,0,9,6,87,0,0,9,4,3,5,1,0,29,24,0,0,4,8,93,0,0,9,14,9,1,0,0,24,21,0,0,6,9,115,0,0,18,19,4,6,0,0,27,25,0,2,4,10,120,0,0,13,16,2,8,0,3,28,39,0,0,9,2,89,0,0,13,4,4,5,0,0,32,27,1,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,591,0,0,0,137,73,64,55,26,29,7,3,4,319,162,157,3,1,2,70,34,36,591,N,NSLPNO,607200,M
